2.42,0.6003,-2.9991,5.6277,2.434,-0.0011,15.3386
2.44,0.5403,-3.0021,5.6331,2.4433,-0.0008,13.664
2.46,0.4803,-2.9977,5.638,2.4516,-0.0007,12.4689
2.48,0.4203,-3.0007,5.6422,2.4588,-0.0005,11.5825
2.5,0.3602,-2.9977,5.6459,2.4651,-0.0004,10.9231
2.5201,0.3002,-3.0019,5.6489,2.4702,-0.0002,10.4314
2.54,0.2402,-3.0043,5.6513,2.4744,-0.0001,10.072
2.5601,0.1802,-2.9925,5.6531,2.4775,-0.0001,9.8124
2.5802,0.12,-2.9933,5.6544,2.4796,0,9.6559
2.6003,0.0595,-2.9996,5.655,2.4806,0,9.5729
